Data Element ID,Data element,DatasetID ,Date created ,Date updated ,Synonyms ,Translation of data element ,Descripton  ,Data element type ,Field property/data type for value,Field size ,Value selection/capture method ,Values/Codes for Values ,Value source 
,Emergency Reintervention/PCI,Cardiology,May-13,,,,"Indicate if the patient required an UNPLANNED PCI during hospitalization and prior to discharge that occurs as a complication related to the index PCI eg: stent thrombosis, dissection with target vessel occlusion)",,Alphanumeric,15 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Applicable",NCVD-PCI
employment_status,Employment Status,Mental Health/Psychiatric,Sep-12,,,Status pekerjaan,Work force activity,,Alphanumeric,,Select from a shortlist,Refer to lookup table Employment Status,
,Endothelial Cell Count of the Donor Corneal Tissue,Ophthalmology,May-13,,,,The number of the endothelial cells present per square millimetre in the donor cornea,,Alphanumeric,,,,
,Endotracheal Tube Ventilation at Initial Resuscitation,MNNR,May-13,,,,Ventilation delivered to newborn through an endotracheal tube in the delivery room,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Episiotomy,MNNR,,May-13,,,A surgical incision made in the perineum during the second stage of labour to expand the vaginal opening to prevent tears during delivery of the baby,,,,,,NOR
,Episode Number,Hospital Discharge,Mar-03,Apr-12,Running number,Nombor episod,"Unique number to identify the inpatient/outpatient episode of the person in the healthcare facility used for administrative purposes of tracking patient, medical record and billing",,Alphanumeric,12 characters,,,
escort_type,Escort Type,Emergency,Oct-06,Apr-12,,Pengiring/Pembawa,Denotes who accompanies the patient to the emergency department,,Alphanumeric,25 characters,,Refer to lookup table Escort Type,MoH
estimated_length_of_cto,Estimated Length of CTO,Cardiology,May-13,,,,Estimated length of CTO vessel segment,,Alphanumeric,,Select from a shortlist,Refer to lookup table Estimated Length of CTO,NCVD-PCI
,Estimated Lesion Length,Cardiology,May-13,,,,Indicate estimated length of the lesion in millimetre,,Numeric,,,,NCVD-PCI
,Exacerbation for Asthma or COPD Exacerbation in the Past Year,Respiratory,May-13,,,Bilangan serangan akut untuk asma dan COPD tahun sebelum,Number of episodes of worsening of symptom of Asthma or COPD requiring healthcare utilization,,Numeric,2 characters,,,
,External Cause of Death,Person Record,Dec-05,,,Sebab-sebab lain kematian,External cause of death as per medical report/hospital discharge summary,,Alphanumeric,80 characters,,Refer to ICD-10,WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10)
,External Causes of Injury and Poisoning,Hospital Discharge,Dec-05,Apr-12,,Sebab-sebab luaran kecederaan dan keracunan,"External cause of injury and poisoning responsible for the principal diagnosis, eg: Principal diagnosis - cerebral haemorrhage External cause of injury - motor vehicle accident",,Alphanumeric,200 characters,,Refer to ICD-10,WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10)
,Eye Bank Number,Ophthalmology,May-13,,,,Number alloted by the eye bank to the donor corneal tissue,,Alphanumeric,,,,
,Facility Name,"Hospital Discharge, Cancer, Cardiology",Mar-03,,"Hospital name, clinic name","Nama hospital, nama klinik","Name of the healthcare facility providing care to an individual, including hospitals, clinics in public and private sector",,Alphanumeric,60 characters,,Refer to Distribution of Public Health Facility Book,MoH
,Failed instrumentation,MNNR,May-13,,,,Failure to delivery vaginally a fetus despite the use of obstetrics forceps or vacuum,,,,,,NOR
,Family History,"Radiotherapy & Oncology, Mental Health/Psychiatric, Cardiology,",May-13,,,Sejarah perubatan keluarga,Family history of certain illness/disease/symptoms in family,,Alphanumeric,,,,
,Family History of Suicide,Mental Health/Psychiatric,Sep-12,,,,Presence of family history of suicide,,Enumeration (Y/N),,,,
,Fasting Blood Glucose,Cardiology,May-13,,,,Defined as how much glucose there is in a blood sample taken after an overnight fast (in mmol/L),,Numeric,,,,NCVD-ACS NCVD-PCI
,Fax Number,"Hospital Discharge, Cancer",Mar-03,,,Nombor faks,Fax number of the healthcare facility,,Numeric,15 characters,,,
feeding_at_discharge_death,Feeding at Discharge/Death,MNNR,May-13,,,,Enteral feedings received during the 24 hour period prior to discharge/transfer or death,,Alphanumeric,,Select from a shortlist,Refer to lookup table Feeding at Discharge/Death,Vermont Oxford Network
,Fetal Anomaly,MNNR,May-13,,,,Fetal malformation or abnormal development,,,,,,NOR
,Fetal Distress,MNNR,May-13,,,,Fetal compromise as evidence by abnormal fetal heart rate or meconium in amniotic fluid or biochemical evidence or other evidence such as ultrasound doppler etc,,,,,,NOR
fetal_indication_intervention,Fetal Indication for Intervention,Obstetric,Apr-12,,Fetal delivery indication,Indikasi intervensi fetal,The medical/obstetric condition of the foetus indicating obstetric intervention: process of action taken to expedite safe delivery,,Alphanumeric,,,Refer to lookup table Fetal Indication for Intervention,NOR
fibrinolytic_drug_used,Fibrinolytic Drug Used,Cardiology,May-13,,,,Identifies the fibrinolytic drugs used. Applicable only to patients presenting with STEMI. This data may be entered by the reporting centre for patients who received thrombolysis prior to transfer,,Alphanumeric,,Select from a shortlist,Refer to lookup table Fibrinolytic Drug Used,NCVD-ACS
fibrinolytic_therapy_status,Fibrinolytic Therapy Status,Cardiology,May-13,,,,Identifies the person’s fibrinolytic therapy status. Applicable only to patients presenting with STEMI. This data may be entered by the reporting centre for patients who received thrombolysis prior to transfer. Also indicates whether and where thrombolysis were given . Only thrombolysis instituted by the participating centre will be calculated for ‘Door-to-Needle’ time,,Alphanumeric,,Select from a shortlist,Refer to lookup table Fibrinolytic Therapy Status,NCVD-ACS
,Fibrinolytics Therapy,Cardiology,May-13,,,,Indicate if thrombolytic was given to the patient prior to the procedure,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Filled Deciduous Teeth (f),Oral Health,Sep-12,,,Bilangan gigi susu yang telah ditampal,Number of milk teeth filled,,Numeric,2 characters,,,MoH
,Filled Permanent Teeth (F),Oral Health,Sep-12,,,Bilangan gigi kekal yang telah ditampal,Number of permanent teeth filled,,Numeric,2 characters,,,MoH
final_diagnosis_discharge,Final Diagnosis at Discharge,Cardiology,May-13,,,,Indicates the final diagnosis after all procedures and investigations had been performed,,Alphanumeric,,Select from a shortlist,Refer to lookup table Final Diagnosis at Discharge,NCVD-ACS
,Final Kissing,Cardiology,May-13,,,,PCI technique used in treating bifurcation lesions,,Alphanumeric,6 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Failed",NCVD-PCI
final_tumour_staging_colorectal_cancer,Final Tumour Staging of Colorectal Cancer,Colorectal Cancer,May-13,,,Pementasan akhir kanser kolorektal,The final stage of the colorectal tumour,,Alphanumeric,,,Refer to lookup table Final Tumour Staging of Colorectal Cancer,
,First Contact Number,Cardiology,May-13,,,,Patient’s most reachable contact number,,Numeric,,,,NCVD-ACS NCVD-PCI
,First Contact with Health Service for Presenting Problem,Mental Health/Psychiatric,Sep-12,,,,Is this the first time patient receive any treatment for mental illness,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,First Identifier (Police Officer),Forensic,Sep-12,,,Pengecam pertama (Pegawai Polis),Police officer who identify the body for the purpose of forensic investigation,,Alphanumeric,80 characters,,,
,First Trimester Dating Scan,MNNR,May-13,,,,Utrasound examination performed during first trimester to date a pregnancy,Numeric,,,,,
first_load_dose_clopidogrel,First/Load Dose of Clopidogrel,Cardiology,May-13,,,,Clopidogrel first/load dose given to the patient,,Alphanumeric,,Select from a shortlist,Refer to lookup table First/Load Dose of Clopidogrel,NCVD-PCI
,Fissure Sealant Needed,Oral Health,Sep-12,Sep-12,,Perlu pengapan fisur,,,Numeric,1 character,,1 - yes; 0-no,MOH
,Fissure Sealant Present,Oral Health,Sep-12,Sep-12,,Ada pengapan fisur,,,Numeric,1 character,,1 - yes; 0-no,MoH
,Fluoroscopy Time,Cardiology,May-13,,,,Fluoroscopy time in minutes. Indicate if not available,,Numeric,,,,NCVD-PCI
,Follow-up,Neurology,May-13,,,,"The outcome of an attendance or series of attendances with a healthcare service in connection with a specific complaint, issue or event",,Alphanumeric,,,,
,Follow-up Destination,Neurology,May-13,,,,Records the arrangements for follow-up and where the patient will be seen after discharge,,Alphanumeric,,,,
,Follow-up Treatment,Hospital Discharge,Dec-05,Apr-12,,Rawatan Temujanji,"Continuation of patient care to assist in healing and recovery e.g: dressing, injection, daily BP etc",,Alphanumeric,200 characters,,,
,Fondaparinux,Cardiology,May-13,,,,Indicate if Fondaparinox medication was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS NCVD-PCI
,Fondaparinux Given at Discharge,Cardiology,May-13,,,,Fondaparinux is continued upon patient’s discharge,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Fondaparinux Given during Admission,Cardiology,May-13,,,,Fondaparinux administered during admission,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Formulary,Pharmacy,Sep-12,,,Formulari,Drug availability in FUKKM- decided by facility,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",PhIS
,Frequency,"Hospital Discharge, Pharmacy",Dec-05,Sep-12,,Kekerapan,Frequency of medication of administration,,Alphanumeric,20 characters,,,"PhIS, MoH"
,Fresh Stillbirth,MNNR,May-13,,,,Intrauterine death of a fetus during labor or delivery,,,,,,NOR
functional_ischaemia,Functional Ischaemia,Cardiology,May-13,,,,"Indicate if the patient has functional ischaemia as indicated by a noninvasive test such as exercise or pharmacological stress test, radionuclide, echo, CT scan was done to rule out ischaemia. The test could be performed at this admission (prior to the PCI), or it could be a test that resulted in the admission",,Alphanumeric,,Select from a shortlist,Refer to lookup table Functional Ischaemia,NCVD-PCI
,General Cancer Grouping,Cancer,Apr-12,,General cancer sites,Kelompok utama,Grouping of cancer types according to system/organ,,Alphanumeric,,,Refer AJCC 7th Edition,AJCC 7th Edition
,Generic Name,Pharmacy,Sep-12,,,Nama generik,Generic name for the drug,,Alphanumeric,20 characters,,,PhIS
,Gestation at Booking,Obstetric,Apr-12,,,,Period of gestation at first antenatal visit to any healthcare facilities,,Numeric,2 characters,,,MoH
,Gingivitis,Oral Health,Sep-12,Sep-12,Inflammation of the gingivae,Gingivitis,,,Numeric,1 character,,1 - yes ; 0 - no,MoH
,Glomerular Filtration Rate (Cockcroft-Gault),Cardiology,May-13,,,,Glomerular filtration rate (GFR) is the volume of fluid filtered from the renal (kidney) glomerular capillaries into the Bowman’s capsule per unit time calculated using the Cockcroft-Gault formula. GFR Cockcroft-Gault= Male: 1.23 x (140-AGE) x WEIGHT (kg),,Numeric,,,,NCVD-PCI
,Glomerular Filtration Rate (MDRD),Cardiology,May-13,,,,Glomerular filtration rate (GFR) is the volume of fluid filtered from the renal (kidney) glomerular capillaries into the Bowman’s capsule per unit time calculated using the Modification of Diet in Renal Disease (MDRD) formula. GFR MDRD= 186 x (serum creatinine (μmol/L) / 88.4) -1.154 x AGE-0.203 x (0.742 if female). The unit is mL/min/1.73m2,,Numeric,,,,NCVD-PCI
,Gp IIb/IIIa Blockade,Cardiology,May-13,,,,Indicate if Gp IIb/IIIa blockade was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,GP Receptor Inhibitor,Cardiology,May-13,,,,Indicate if GP receptor inhibitor was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,GP Receptor Inhibitor Given during Admission,Cardiology,May-13,,,,Gp IIb/IIIa receptor inhibitor administered during admission?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
grade_of_ivh,Grade of Intraventricular Haemorrhage,"Neonatology, MNNR",May-13,,,,Enter the worst grade of IVH according to Papile classification,,Alphanumeric,,Select from a shortlist,Refer to lookup table Grade of IVH,MNNR
,Gravida,"Obstetric, Neonatology",Oct-06,,,Gravida,"Total number of pregnancy including normal and abnormal pregnancy, abortion and ectopic pregnancy",,Numeric,2 characters,Type in,,MoH
growth_status,Growth Status at Birth,MNNR,May-13,,,,Indicate growth status as per centile according to Intrauterine Growth Curves (Composite Male/Female) at time of birth,,Alphanumeric,,Select from a shortlist,Refer to lookup table Growth Status,"WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10), MNNR"
growth_status,Growth Status at Discharge,MNNR,May-13,,,,Indicate growth status as per centile according to Intrauterine Growth Curves (Composite Male/Female) at time of discharge,,Alphanumeric,,Select from a shortlist,Refer to lookup table Growth Status,MNNR
,Guiding Catheter French Size,Cardiology,May-13,,,,The French size of the guiding catheter used to cannulate the ostium of the coronary artery. The largest size used should be indicated,,Numeric,,Type in,,NCVD-PCI
,Guiding Sheath French Size,Cardiology,May-13,,,,The French size of the guiding sheath used to cannulate the ostium of the coronary artery. The largest size used should be indicated,,Numeric,,Type in,,NCVD-PCI
,Haemoglobin Level,MNNR,May-13,,,,Haemoglobin level denotes the haemoglobin concentration in grammes per decilitre ( g/dl),Numeric,,3 characters,,,
,Handedness,Neurology,May-13,,,,A record of the patient’s favoured hand. Hand preference or handedness is: “When the arms and hands are asymmetrical in use and function so as to reliably favour one hand or the other across a range of skilful acts” (Harris and Carlson 1988),,Alphanumeric,15 characters,,,
,Has Patient Been Readmitted to the Hospital?,Cardiology,May-13,,,,Indicate if the patient has been readmitted to the hospital,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Has Patient Stopped Smoking,Cardiology,May-13,,,,Indicate if patient has stopped smoking more than 30 days,,Alphanumeric,15 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Applicable",NCVD-ACS NCVD-PCI
,Hb Level at Booking,MNNR,May-13,,Haemoglobin level at booking,,Haemoglobin level denotes the Haemoglobin concentration in grammes per decilitre ( g/dl) at the time of booking,,g/dl,,,,NOR
